536,1716,3,1
540,348,3,1
536,1720,6,1
548,168,6,1
748,384,6,0
956,1796,6,0
300,432,3,0
648,1532,3,0
104,1524,3,0
860,1532,3,0
108,1532,3,0
756,1680,3,0
568,1836,3,0
108,1524,3,0
648,1676,3,0
808,1372,3,0
432,1684,3,0
816,1376,3,0
536,1532,3,0
812,1372,3,0
868,1692,3,0
864,1692,3,0
608,1828,3,0
640,1684,3,0
704,1372,3,0
580,1836,3,0
856,1688,3,0
276,1380,3,0
212,1532,3,0
104,1532,3,0
756,1536,3,0
816,1376,3,0
624,1832,3,0
220,1532,3,0
108,1532,3,0
752,1688,3,0
112,1532,3,0
592,1828,3,0
268,1372,3,0
760,1680,3,0
592,1840,3,0
816,1376,3,0
428,1684,3,0
488,1368,3,0
272,1372,3,0
752,1676,3,0
564,1836,3,0
324,1532,3,0
812,1372,3,0
964,1532,3,0
272,1376,3,0
852,1528,3,0
972,1540,3,0
272,1376,3,0
384,1380,3,0
804,1376,3,0
856,1680,3,0
964,1540,3,0
280,1368,3,0
596,1816,3,0
592,1376,3,0
112,1532,3,0
216,1684,3,0
808,1372,3,0
584,1368,3,0
916,1364,3,0
372,1360,3,0
704,1372,3,0
860,1680,3,0
608,1840,3,0
860,1848,3,0
860,1848,3,0
860,1848,3,0
992,1820,3,0
